,username,date,comments
12,mbarto,March 2002,">""Is there such a thing as an automatic-only true performance sedan? Not in my book. Certainly not in Europe or Asia. Only in America is such an oxymoron possible. Sad. If or when the manual G35 comes out and the coupe version, then the G35 will be interesting enough to be a serious contender in this segment.""  Riez, I read from your profile that you have a manual BMW 5-series. But I think you are wrong to not consider a car such as a Infiniti G35 to be a serious contender as a performance luxury sedan. From your logic, then the BMW 3-series (your wife's) or the 5-series with the Steptronic should not be contenders either. That's belittling the Infiniti, Audi, Lexus, Acuras, BMW's etc. with automatics.  When I return in December from Qatar, I plan on purchasing a sports sedan. I'm leaning on the G35, but the BMW 330i along with the Audi S4 are also contenders. IMO, if the handling of the Infiniti is as good as the BMW as some that drove it has stated, then it will hard to pass up especially for the price. Also my first choice will be a manual, and Infiniti should have the manual out by December. I will test drive all three, manual and automatics, and make my choice from there.  I do agree with you that manuals are more fun to drive, and that will be my first choice. But, automatics in this category, especially those made by BMW, Infiniti and others, should not be eliminated as performance sedans. Different flavors for different people.  I have been following discussions on many boards and what I have been noticing is that there is so many ""experts"" on what is the best sports sedan. And most haven't even driven the competitors to give an honest opinion. This is not aimed at you Riez or Shipko, because your profiles states that you own a BMW already. But from what I noticed is that some BMW ""supportors"" don't even own a BMW, (at least not from their profile) or they state that they never drove an Infiniti G35, but they still make ""unsupported"" facts, assumptions or opinions on such. (See the Edmund's BMW 3-series discussion). I hope in your defense, Reiz, that you drove the automatic Infiniti G35, to give an opinionated statement that it doesn't classify as a performance sedan. I value your opinion and others as well.  Again, I'm not flaming you, but I try to be an informed consumer before I buy anything. That is the reason that I will drive every car that I'm interested in and make my choice from there. I'm also always interested in those opinions from people that own the type of car I'm shopping for and at least drove it, so they can give valid pro/negative statements.  Cheers!"
13,hungrywhale,March 2002,"I think what riez and I are trying to say is not that automatics perform poorly or that only weenies drive them  But any car that truly holds itself out as a performance sedan NEEDS at least the option of a manual tranny. Manuals are always faster than automatics and they are almost always the choice of the enthusiast driver.  There's nothing at all wrong with automatics, but I sure don't want one."
14,blueguydotcom,March 2002,amen
15,dave330i,March 2002,"In this class, the best bang for the buck has to be IS300, assuming one can live with the styling.  I guess I'm one of the few that likes the old A4 styling to the new. Isn't the new A4 pushing 3600 lbs. now? That's pretty heavy for this class."
16,blueguydotcom,March 2002,"Even at 29k for a 35k msrp IS300, I passed on it. Now I never drove a manual one (they weren't out yet) but even with a manual, given the car's horrible drive-feel, poor interior and lethargic steering, I don't think I'd go near one. They're not up to Audi/BMW/MB/Infiniti."
17,wishnhigh1,March 2002,"Never liked a lexus, and probably never will. I would rather drive the CTS. There is always something that irritates me about them. I would buy the IS as a Toyota but not a Lexus...I personally think Lexus should have a car in its lineup with this cheap of an interior and with this much sporting character. Toyota deserves something like it though.  Also, I don't think 215 horsepower for 29k is a lot of bang for the buck, considering the G35 is the same price with 260 horsies."
18,dave330i,March 2002,"""I would buy the IS as a Toyota but not a Lexus""  How else are they going to get that extra $5k from you then?  Reasonably equipped G35 goes for $33k or so."
19,riez,March 2002,"I couldn't have said it better myself. I'll let you lead services!  mbarto... I most certainly will test a G35 manual if and when it finally comes out. I promise!!! Automatics make nice luxury sedans and maybe even sporty luxury sedans. But NOT performance sedans or luxury performance sedans. (I don't even consider the 540iA Sport truly worthy, though it is as close as one can get in an automatic. If I could just get my wife to drive a manual....)"
20,wishnhigh1,April 2002,"The problem is that they are HUGE generalizations. Also, you are talking Japanese as almost exclusivly Honda and Toyota. What about Subaru, Mazda, Isuzu, Mitsubishi, Daihatsu, and Suzuki? So far the only makes that seem to keep with that Japanese Culture are Toyota and Honda.  And many American and European makes are now capable of having higher quality than more than 70% of Japanese cars. Doesn't help your generalization that much, does it?  So where do the generalizations stop? They should stop with brands, and not nations."
21,kd6aw1,April 2002,"Have found out that with some of the more powerful cars like the G35 or Corvette the difference in performance from a practical standpoint isn't really an issue because these cars are faster than we can ever dream of driving without either killing ourselves or getting tickets all the time. I have an automatic G35 and love it. Being that it is an automatic I can enjoy my coffee, shave, talk on my cel phone and hug my wife while driving in rush hour traffic. If I feel the urge which I don't very often I can shift the manumatic and pretend it is a stick. When I get my Ferrari it will have the paddle shifting because I don't ever want another clutch! Just my opinion!  Paul  El Cajon, California"
22,fwatson,April 2002,"How does your theory explain English cars? A country steeped in tradition producing poor quality cars with little inovation? Look what a traditionalist country managed to do to the Acura Legend when they produced it as a Stirling. LOL  ====================================  Quote wishnhigh1: ""What about Subaru, Mazda, Isuzu, Mitsubishi, Daihatsu, and Suzuki? So far the only makes that seem to keep with that Japanese Culture are Toyota and Honda.""  ====================================  Those cars in general reflect the perfectionist attitude of 1pierce's post. With virtually no exception, the overall quality of Japanese brand cars, especially fit and finish, considerably excels the American brands. From what I have read, this is due to the attitude of Japanese management in not accepting mediocre craftsmanship. Not the abilities of the assembly line workers. You may have a point though, that some of the Japanese brands show as high a level of innovation as the American and German brands. After all, which country has used the Wankle rotary, and Miller cycle engines? And who introduced us to the VTEC engines etc?  American management leans strongly to the bottom line and CEO bonuses, with refinement and polish falling by the wayside as a casuality of the heavy handed management style."
23,dave330i,April 2002,"""Being that it is an automatic I can enjoy my coffee, shave, talk on my cel phone and hug my wife while driving in rush hour traffic.""  Truly critical things to do while one's driving."
24,blueguydotcom,April 2002,"He did mention ""in rush hour traffic."" Like there's anything else to do in bumper-to-bumper. Not like rush hour demands anything of the driver. I've read books while in traffic. Let out clutch, apply gas, push in clutch, glide, repeat. Snooze."
25,fredvh,May 2002,"Edmunds has a new feature called ""True Cost To Own"". It is listed when one researches out the various vehicles on the new car heading. It is one of the 13 subjects when you click on a particular vehicle. It is very useful when comparing one vehicle to another. ""True Cost To Own"" takes the purchase price and adds things like depreciation, insurance, license fees, etc. and gives you a figure for 5-yr ownership. They even tailor it to your particular zip code. I tried it on a few vehicles and it is very useful."
26,cybersol,May 2002,"I have not had a chance to look at it in person, but does the 38K Passat W8 fit into the entry -level performance luxury sedan category? Any other upcoming (next year or so) vehicles fit into this category?"
27,blueguydotcom,May 2002,But it's not really a performance sedan. Drive one and then take on a Bimmer or G35. Night and day. VWs are nice inside and good for cruising but their handling's akin to riding a pig in a hurry.
28,rayainsw,May 2002,"I beg to differ.  While I admit that I am biased (obviously, since I bought one!) I believe that the W8 is really a performance sedan.  I test drove the G35, and several BMWs (and a few others) before making my final choice. I suppose the term &#145;performance sedan&#146; could be defined in any number of ways. For me, the W8 offers everything I want &#150; and nothing I don&#146;t.  (Isn&#146;t that a recent Nissan &#145;tag line&#146;?)  Take straight line acceleration, for instance. VW literature quotes 0 &#150; 60 in 6.5 sec. To me, this is pretty quick for a 4 door sedan. My fearless (?) prediction of future test acceleration numbers is: 0 &#150; 60 in 6.5 sec., as VW claims. And a quarter mile in about 15.0 at 94 / 95. I base this on a number of things. For instance, in the May 2000 Car and Driver comparison that included the Lincoln LS8 Sport and the Audi A6 2.7TT, the Audi tested had virtually identical curb weight as the W8, identical final drive, wheel / tire size and Tiptronic. The HP / TQ for this Audi were 250 / 258. And their test results were: 0 &#150; 60 in 6.6 sec. and the quarter mile in 15.1 at 94. Thus, my W8 with 270 / 273 ought to do slightly better. We&#146;ll see. . . (BTW: in the same test, the Lincoln LS8 Sport they tested turned in acceleration numbers of: 0 &#150; 60 in 7.5 and the quarter mile in 15.7 at 90. This was my previous car. So, it seems reasonable that my W8 feels quicker &#150; setting aside the notorious un-reliability of everyone&#146;s &#145;butt dyno&#146;!)  Does it pull the same lateral G as the G35 or a BMW 3 series w/Sport Package. Almost certainly no. But with more aggressive rubber, I expect that it will provide enough grip for entertainment value at any sane public road speed.  Just my opinions.  Cheers, - Ray Off shortly to put on a few more &#145;break-in&#146; miles at lunch . . ."
29,cmnott,June 2002,"I recently went through the list of entry level cars...I was in test drive heaven!  325i - very nice car, best shifter/clutch of all, but not enough power for me. Great motor though as fas as smoothness. the interior is average, nothing better. With leather and wood it helps but you either dig it or you don't.  330i - same as above but better power, although I find the power to be linear. You can really move in this car but the sensation of thrust is lacking. I like that sunroof and leather are std. Better value overall than 325i plus std. 17"" wheels (although with all-seasons). Pricy.  IS300- Nice manual tranny and smooth motor. That's about it. hate the interior, feels claustrophobic and chintzy.  X-Type - I liked the 3.0L Sport, but did not like the grey stained maple. Didn't look like a jag. Very nearly purchased a 3.0L British Racing Green with Ivory Leather and beautiful walnut but with options this car is riciulously overpriced, makes the BMW look like a bargain hunter. Too bad, nice motor and very good manual tranny and ride. Brakes were strong. One thing about the motor was it just didn't feel or go like 0-60 6.5 as advertised. Nicest interior overall.  A4 3.0 - Porky, ponderous even with sport package. Did not feel swift and easily the worst tranny available in this segment. Nice interior, leather was only average. you could barely tell the difference between the leather and leatherette, which is a good thing if you are cheap, but bad if you opt for leather. By the way, the leather in the BMW was much better.  S4 (2001)- Nice but not as fast as I thought it would be (I did drive a 99 Mustang GT). It rockets off the line but it isn't that impressive afterwards. Nicer seats and support but interior is too gloomy. 250bhp and 258 lb ft. motor is not an audible delight, the 2002 A4 3.0 sounds amazing compared to the S4. I think the backpressure has gobbled up the exhaust note. An exhaust would be perfect here. They were giving them away (9000$ off MSRP - and people were definitely buying!) but it just looked dated now beside the new ones.  G35 - went and looked at one in showroom and was not impressed and without a manual tranny, I wasn't interested one bit. I still managed to drive one and was impressed with the torque, it definitely had thrust that the others lacked (except the S4). Nice seats and neat touches for rear passengers. I really liked the dynamics of the car but the tranny left me cold. The fit and finish was poor, maybe it was an early model...no dicker sticker which made it cost as much as the A4 3.0 and BMW 330i was close.  Lincoln LS V6 - very good handling and crisp 5 speed. Engine was thrashy at high revs which is particularly bad because it needs to be revved to really move. Torque is lacking here. But I liked the car overall, especially with the Sport susp.  Acura TL-S, another auto tranny but an incredible motor, definitely my favourite V6 of all of them as far as sound is concerned. Interior average and handling so-so. Excellent price.  Volvo S60 T5 - I chose this car for its thrust (come to think of it 3bhp less and 15 lb.ft less than the S4 is quite close to the S4, and it is lighter) FWD torque steer is evident only beyond 8/10ths, but it is there, no question about it. Best seats, best stereo, average steering feel falls behind the Jaguar and BMW. Brakes while strong are grabby but it takes getting used to. Amazing power and style. Seems decent off the line but after 100km/h it easily pulls the hardest. Price was also a consideration as it was cheaper than BMW, Audi, Jaguar.  Didn't drive the CTS but I am sure it is excellent.  In conclusion these are all excellent cars and even though we all nitpick this and that on all of them, I would be fine with any of them in my driveway. Honestly."
30,blueguydotcom,June 2002,"I had the grave misfortune to drive a CTS, and it's not in the same league as the Bimmer, Audi, Infiniti or even the lesser Acura/Lexus/Jag.  The CTS i drove was a 5 speed sport model with a sticker of 38k (gasp!). The tranny was rough, very rough, almost Mustang bad. The interior felt cheap with lots of hard plastic and very little in the way of substantial or soft-touch materials. The throttle response was weak and required excessive modulation of a rather awkward gas pedal. The car's a rolling bed of 1998 technology, no automatic brake distribution for one thing. The salesmen kept insisting 4 channel ABS is impressive...to each his own. Handling? Nothing at all like the claims car mags are making. It was a slow reacting boat...turn the wheels, feel the car undulate and then slowly shift directions. Not impressive in the least. In fact when the salesguy asked me what I thought after the drive I told him the CTS wasn't even a real competitor to the germans or japanese. He snorted and reminded me, ""This is a caddy, not a sports car."" Yeah, well that Caddy can sit on the lot with the other heaps they have."
31,jagboyxkr,June 2002,"Congradulations on your new S60 T5! It is a great looking car, and I hope you are very happy with it. I saw a really nice one in front of me this morning. Have fun with it!"
32,cmnott,June 2002,"Hey blueguy, what wrond with the Mustang tranny! I know it is not a FWD type gearbox but when you have 300 lb.ft. of torque twisting that car, you need a strong tranny. In all honesty, the clutch, while incredibly easy to modulate was hevay, but with a purpose. never missed a gear either, which can't be said about the A4 6-speed...  jagboyxkr, I know you have an X-Type and I was right in there to the end with this car. Bottom line was 10000CDN difference. The way they package the options is ridiculous. i needed the split fold seats, but they were bundled in a $2000 package. Xenons? Twice asmuch as any other car, $1600.00. Sunroof? another 1600.00. It was unbeleivable but the lease rate was very low (1.9%) which helped make up the difference.  I don't care what anybody says about the X-Type, because most have never driven them, it is IMO, a better overall car than the Audi. In Canada, AWD is recommended...this car gets slaughtered because of its high price. This car should have been priced equal to the leader of the class, but to price it more than the best car in the segment is suicide in this hot market.  The T5 is broken in nicely, I have over 2000 miles on it now and it is everything I expected. What i didn't expect was the sheer power this thing has after 100km'h. I think it would beat my Mustang at that speed in a rolling start, no question. i would even say an S4..."
33,blueguydotcom,June 2002,"Hey, I've never driven an 18 wheeler, so maybe the Mustang's tranny isn't like one, but that's how I imagine a big rig's tranny to feel."
34,cybersol,June 2002,"Thanks for the comparison post, it was very informative. Congratulations on your S60 T5."
35,phatratpak,June 2002,"I didn't want a manual tranny because I like to eat a sandwich or be on the phone, roll up/down windows and sunroof at any time while I drive. I test-drove a used '98A4quattro 2.8, new 325ci,325xi. I loved those bimmers and audi was a great car but the bottom line sticker is what made me go with the Acura. with the steptronic this car is an absolute joy, I went from a 1993dodge P.O.S. I'm only at 150miles so far but no complaints and extremely satisified with my decision..."
36,blueguydotcom,June 2002,"What does a manual have to do with eating, drinking, talking, windowing (? LOL), sunroofing (?)? I have a manual (actually never owned an automatic) and I have no problems carrying on several tasks at once. It's just like walking and talking."
37,wishnhigh1,June 2002,it sounds like he got the right car for him.
38,phatratpak,June 2002,"I guess you guys have become very experienced with manuals, I feel they are fun, and someday when i'm rich and famous (lol) I hope to have a manual porsche or something like that. But for now the sequential shifter gives me enough performance"
39,eaweg,June 2002,"So that stones aren't casted at one another, I would like to remind everyone that this is my opinion which is why we have these forums.  Cmnott, I respect your opinion about the jag and the audi 3.0...although I strongly disagree. I guess as a 3.0 owner I would. I personally found the jag x-type to be the worst car I have ever test driven. First, it was $3000 more than the Audi. Second, well it is a ford and felt like a ford. The handling in no way compared to the 3.0. The interior might ""look"" a little better but certainly did not ""feel"" any better. AS for performance, I am a little dissapointed with th 3.0 and I think they could have used a 250-260 hp engine to solve the problems. However, it is still a fun engine...especially at highway speeds. I honetsly felt that the Mondeo (excuse me, x-type) was going to fall apart on my test drive.  Now I know Audi has had its problems but not even close to comparison with the negative headlines for the x-type!  Oh well...to each their own! Enjoy your T5!!!"
40,atluskane,September 2002,Does anyone find that the TL has extrememly boring styling. I've only seen white TL's and they don't look exciting but I haven't seen a darker colored TL. Do the darker colored TL's look better? Also anyone who owns a TL type S how fast does it go from 0-60? I'm curious because I'm crosshopping with the G35. If the Tl Type S can at least compete with G35's performance that I would be happy
41,techhawk,September 2002,"The TL-S does have boring styling and white is its worst color. It fairs better in darker colors. The overall performance is similar to the G35, though it gets edged out in most categories. The biggest difference is FWD vs. RWD. I spent quite a bit of time in a TL-S when shopping recently. I chose a G35, but if you are a Honda fan or prefer FWD the TL-S is a great choice. It will also run you a little less than a comparably equipped G35, and you can probably get a deeper discount to boot. There have been concerns about the TL-S having tranny failures, but Acuras tend to be very reliable.  For direct comparisons of the G35 and TL-S look at the recent Edmunds entry sport lux sedan comparo, the C/D currently on news stands (I have to admit its not very credible to me) and the July 2002 R/T. Good luck with your shopping."
42,ext25,September 2002,http://www.latimes.com/classified/automotive/highway1/la-hy-acura11sep11.story?coll=la-class-autos-highway1
43,diploid,September 2002,Scrolllllll
44,wishnhigh1,September 2002,"Wow...that guy in the news clip really does look like the stereotypical computer engineer, doesnt he?:)"
45,richard52,September 2002,As an avid reader of Consumer Reports I find it hard to believe that their research didn't uncover any problems with the transmissions in the TL.. If you read their auto issue they give the TL their highest rating for reliability including the transmission. Is their something wrong here?
46,kdshapiro,September 2002,"I read Consumers as well. My theory is that the percentage is higher than zero, which took Honda by surprise. Isolated incidents over tens and thousands of vehicles sold, make it a small statistical probability. This doesn't mean there isn't a design flaw somewhere. For every mass produced car has some flaw, no matter how inexpensive or expensive. However at this point there is a lot of hubris over it. Should I be purchasing an Acura, this would not be a factor."
47,riez,September 2002,"Check out their November 2002 issue. Page 82. Their long-term testing. As they put it, it is ""good"" but not ""great"" and not worth the price. And it ""does have its good points, but, unfortunately, it doesn't have enough of them."" Or, it ""doesn't live up to its nameplate or its pricetag.""  They pan the engine (noise & power), weight, stereo sound, lack of in-dash CD player, clutch, handling, etc.  This article follows an earlier one (09/02 issue) in which they pointed out the X-type's many flaws and few virtues."
48,riez,September 2002,"jagboyxtype... If you want most other marque's models, you have to order vanilla. Maybe a chocolate or strawberry. Your X-type offers choice of automatic or manual and 2.5L or 3.0L engines. IS300 offers SportCross. But only the 3 Series offers so much more. Sedan, coupe, convertible, wagon, and ultra-high performance models. AWD and RWD. Automatic and manual. Choice of engines. Is it BMW's fault they are so wise to spread their costs across so many variants and give buyers so many choices? I say you could also add Z3 sales to the mix, too!"
49,jagboyxtype,September 2002,"Oh, that's too bad. It's also too bad that they failed to notice that:  -The X-TYPE does have an indash CD-player, which is standard on 3.0 litre models.  -Out of the group of European sport sedans (e.g. BMW 3, Mercedes-Benz C, Audi A4) the Jaguar X has the most powerful engines.  -The Jaguar Alpine sound system is rated very highly. The auto's section of my newspaper rated the Jaguar Alpine system the top system out of premium European cars in a big comparison test of car stereos. Lexus won the Japanese premium car sound system category with its ML system.  -The car is a wonderful handler; for example, it outperformed the C-320 Sport in that deleted post comparison, and although it does not have the class-leading acceleration times, it is only about 0.2 second behind the 3-Series and is in the top end of its class when it comes to performance (0-60 in 6.3 seconds - Car&Driver; 0-60 in 6.5 seconds - Road&Track). With its AWD, it can corner like no other car.  -Braking performance from 60mph is just two feet longer than the Porsche 911 GT2 (116 feet), at 118 feet. Thus, it stops in the same distance as a smaller BMW M-Roadster (118 ft.). Brakes are from the larger S-TYPE.  -Connoly leather and wood are all standard in the Jag, and leather and wood are only optional (if available) in competor's models.  -It has the most rigid structure in its class, over 30% higher than the previous class leader.  -Synthetic interior materials (e.g. plastics and not-leather soft-touch areas) are made by the same company from the same materials from the same machines that manufacture synthetic materials for Audi's A6 and new A8, which are ""industry leading"" according to many.  -The X-TYPE does weigh a little more than a RWD car as it carries an extra differential and drive shaft for its AWD, but that doesn't seem to hurt its performance. It actually helps it in many ways. Also, for instance, it weighs less than an Audi A4, Cadillac CTS, and Lincoln LS.  -There is some engine noise entering the cabin, but even wispers are still audible from passengers. Plus, it's a sports-sedan, so the engine is supposed to have a nice little note to it. Many reviewers have enjoyed the sound the X-TYPE's engine makes. There is also almost no wind noise as exterior mirrors, etc. were sculpted from windtunnel tests at Pininfarina and high-speed tests on the Nardo bowl in Italy as well as the Nurburgring in Germany.  -Clutch: yes, some people dislike its feel, yet others like it because it is not difficult to use. I believe that it was MotorWeek that stated it felt like a BMW clutch.  -Pricing: you can get a base X-TYPE for around $29,000 - $30,000 with leather and wood, manual transmission, metallic paint, etc. Option packages have been re-organized to allow more individual options to be ordered. Competators like the MB C-Class sedan start at around $31,000 without leather and wood, but vinyl and plastic.  About the only virtue the X-TYPE doesn't have are memory seats. Beyond those, it's one hellofa car. I doubt it would still be making up 56.7% of Jaguar's sales and dominating an unheard-of 66% of its market in Europe (especially Italy) if it weren't a great car. ______________________________________  On the Acura transmission problems, only 16,000 cars have been afficted with the problem over the past two years, according to the posted article. Accura sells a lot of cars, so it does not seem to be a massive or wide-spread problem. Hopefully they'll fix it, but I wouldn't worry about it too much."
50,riez,September 2002,jagboyxtype... Have you been reading what European Car has been writing? I'd encourage you to read their articles. They have a web site. I didn't write them. Please don't shoot me. I just passed along what an interesting source said. I happen to agree with many of their comments. Not all. And I hope Jaguar works aggressively to improve the X-type.
51,jagboyxtype,September 2002,"""Please don't shoot me.""  I wasn't trying to shoot you. You are just being paranoid. I never even mentioned you in my whole response except for in the title where I was directing my message to what had been said that you passed along. I said ""they"" as in the editors of European Car, but if you are now using the ""royal we"" and took what I said as directed towards you, now you know that is not how it was meant. I will shoot some words at you about improving the X-TYPE, however, as I don't feel the car needs any improving at all except in a very few minor areas, such as memory seats (not that they are really needed, but it would be a nice touch). Everything that makes a Jag is there in the X-TYPE, and it is a great car on its own. Naturally, Jaguar will improve the X-TYPE just as it improves all of its cars. As for your fear of being shot at with words on this board, perhaps you shouldn't say things that would cause you to get shot at if that is a fear of yours.  BTW, every month, over 3,000 people just in the U.S. disagree with you and with European Car about the X-TYPE. Sorry buddy, but you're in the minority on this one. However, European Car's own final words on their X-TYPE test were:  ""Pushed to the limit and the X-Type will gently push until you ease off the throttle. Muscled around the track however, and its possible to slide the sedan until the tires melt. Great fun!  I came away from the X-Type totally surprised. I expected to find a meek and mild sedan but instead found a serious contender in the sport-sedan market. These first two offerings are great!...I can't wait to see what those rouges at Jag's R division have in store for the X-Type."""
52,affy,September 2002,"Why isn't Audi considering shipping the A3, S3 here, i belive there's a lot of market potential here in our shore. It make perfect sense to have a A3 to battle against the Benz C-230 coupe and the BMW 320i. I saw picture of the A3 and it look ok, right now i'm considering to purchase an A4 3.0, i want to comapre the A4 3.0 and the S3. Audi should ship the lux-golf here!"
53,riez,September 2002,"jagboyxtype... Ya gotta stay calm. Did you notice in your most recent post you did write ""over 3,000 people just in the US disagree with YOU and with European Car about the X-type.""  Have you even taken the time to read what European Car has written? Or what MT and C&D have previously written? The X-type has gotten mixed reviews at best in America. Don't believe it has ""won"" a single comparison test. See R&T's recent 11-car sport sedan comparison. Think that says a ton when X-type falls short badly in comparison tests.  Can you steer me to an American comparison test in which the X-type won?  And what do sales have to do with how truly good a sport sedan is? I see a lot of people driving Malibu, Taurus, I30, ES300, etc. To many (most!) people a car is either an appliance or a status symbol. But it is only the rare few who are truly interested in all around performance. Some people might argue that low sales are a better indicator. Most people want cushy ride on interstate, not 0-60 times or slalom results. The IS300 crowd might wear their low sales as a badge of honor."
54,riez,September 2002,"jagboyxtype... Do you read MT or R&T?  Check out the November 2001 issue of Motor Trend. MT pans the X-type 3.0 AUTOMATIC in their 5-car comparison. In 10 areas of their ""Report Card"", the Jag wins just one, styling. Has last place or 2nd to last place rating in powertrain, ride, interior design, seat comfort/support, rear-cabin space, trunk useability, and value. Track results mediocre. Fourth place 0-60 mph time. 2nd slowest slalom time. Worst braking result. They tested a moderately loaded $43,695 one.  Check out the July 2002 issue of Road & Track. R&T pans the X-type 3.0 MANUAL in their 11-car comparison. X-type comes in 10th overall, 9th in just subjective ratings, and 10th in just performance ratings. They tested a loaded $46,510 one.  Does that mean you disagree with me, European Car, R&T, and MT? Wonder if you and the other 3,000 people are reading what is out there? And test driving the X-type against its competitors?"
